,無記入
== Mejor Decks ======,無記入
烙印デスピア,branded_despia
ふわんだりぃず,floowandereeze
アダマシア,adamancipator
神碑,runick
エルドリッチ,eldlich
相剣,swordsoul
LL鉄獣,tri_lyrilusc
鉄獣戦線(LL以外),tri-brigade
== Middle Decks ======,無記入
@イグニスター,ignister
Evil★Twin,evil-twin
ヴァリアンツ,vaylantz
エンディミオン,endymion
怪獣カグヤ,luna_gs
サンダー・ドラゴン,thunder-dragon
シャドール,shaddoll
閃刀姫,sky-striker-ace
電脳堺,virtual-world
ドライトロン,drytron
ドラゴンリンク,dragon-link
ヌメロン,numeron
幻影騎士団,the-phantom-knights
プランキッズ,prank-kids
魔術師,magician
海晶乙女,marincess
烙印(デスピア以外),branded
ラビュリンス,labrynth
==================,無記入
不明,unknown
その他,others
